Test_Case_Name,Endpoint_URL,Result
test_project_status,http://13.202.227.36:8001/project/checkproject/,PASS
test_project_list,http://13.202.227.36:8001/project/list/,PASS
test_validate_netlist,http://13.202.227.36:8001/netlist/validate/,PASS
download_global_netlist,http://13.202.227.36:8001/stage/download/files/,PASS
test_download_global_techfile,http://13.202.227.36:8001/stage/download/files/,PASS
test_create_project_layout,http://13.202.227.36:8001/project/create/,PASS
download_global_netlist,http://13.202.227.36:8001/stage/download/files/,PASS
test_download_user_techfile,http://13.202.227.36:8001/stage/download/files/,PASS
test_project_status_once_created,http://13.202.227.36:8001/project/checkproject/,PASS
test_run_layout_project,http://13.202.227.36:8001/run/project/,PASS
test_get_stage1_job_details,http://13.202.227.36:8001/run/job/6024,PASS
test_stage1_result,http://13.202.227.36:8001/stage/result/,PASS
test_get_gds_images_stage1,http://13.202.227.36:8001/stage/gdsimg/,PASS
test_download_all_stage1,http://13.202.227.36:8001/stage/download/result/,PASS
test_single_gds_download,http://13.202.227.36:8001/stage/download/gds/,PASS
test_getlist_netlist,http://13.202.227.36:8001/netlist/getlist/,PASS
test_getlist_techlist,http://13.202.227.36:8001/tech/getlist/,PASS
test_get_data,http://13.202.227.36:8001/netlist/getdata/,PASS
test_techdata,http://13.202.227.36:8001/tech/getdata/,PASS
test_get_job_list,http://13.202.227.36:8001/run/list/,PASS
test_get_stage1_ready_list,http://13.202.227.36:8001/project/stage1_ready/,PASS
test_get_project_details_stage1,http://13.202.227.36:8001/project/details/5310,PASS
create_project_hyperexpressivity,http://13.202.227.36:8001/project/create/,PASS
test_run_project_hyperexpressvity,http://13.202.227.36:8001/run/project/,PASS
test_get_stage2_job_details,http://13.202.227.36:8001/run/job/6025,PASS
test_stage2_show_result,http://13.202.227.36:8001/stage/result/,PASS
test_get_project_details_stage2,http://13.202.227.36:8001/project/details/5311,PASS
test_get_gds_images_stage2,http://13.202.227.36:8001/stage/gdsimg/,PASS
test_download_all_stage2,http://13.202.227.36:8001/stage/download/result/,PASS
test_single_gds_download_stage2,http://13.202.227.36:8001/stage/download/gds/,PASS
test_edit_stage1_project,http://13.202.227.36:8001/project/edit/5310/,PASS
test_edit_stage2_project,http://13.202.227.36:8001/project/edit/5311/,PASS
test_clear_result_stage1,http://13.202.227.36:8001/run/clear/result/,PASS
test_clear_result_stage2,http://13.202.227.36:8001/run/clear/result/,PASS
test_delete_stage1_project,http://13.202.227.36:8001/project/delete/5310/,PASS
test_delete_stage2_project,http://13.202.227.36:8001/project/delete/5311/,PASS
test_create_project_action3,http://13.202.227.36:8001/project/create/,PASS
test_run_layout_project_action3,http://13.202.227.36:8001/run/project/,PASS
test_get_stage1_job_details_action3,http://13.202.227.36:8001/run/job/6026,PASS
test_stage1_result_action3,http://13.202.227.36:8001/stage/result/,PASS
test_get_gds_images_stage1_action3,http://13.202.227.36:8001/stage/gdsimg/,PASS
test_download_all_stage1_action3,http://13.202.227.36:8001/stage/download/result/,PASS
test_single_gds_download_action3,http://13.202.227.36:8001/stage/download/gds/,PASS
test_get_project_details_action3,http://13.202.227.36:8001/project/details/5312,PASS
test_run_project_hyperexpressvity_Action3,http://13.202.227.36:8001/run/project/,PASS
test_get_stage2_job_details_action3,http://13.202.227.36:8001/run/job/6027,PASS
test_stage2_show_result_action3,http://13.202.227.36:8001/stage/result/,PASS
test_get_project_details_stage2_action3,http://13.202.227.36:8001/project/details/5312,PASS
test_get_gds_images_stage2_action3,http://13.202.227.36:8001/stage/gdsimg/,PASS
test_download_all_stage2_action3,http://13.202.227.36:8001/stage/download/result/,PASS
test_single_gds_download_stage2_action3,http://13.202.227.36:8001/stage/download/gds/,PASS
test_delete_action3_project,http://13.202.227.36:8001/project/delete/5312/,PASS
